version,M,K,N,P,run,t_overall,t_work,t_io_in,t_io_out
pthreads,1024,1024,1024,128,2,0.032198,0.002837,0.006863,0.000028
pthreads,1024,1024,1024,128,3,0.034843,0.002968,0.008087,0.000037
openmp,1024,1024,1024,1,1,0.337889,0.332630,0.005183,0.000053
openmp,1024,1024,1024,1,2,0.337984,0.332658,0.005255,0.000048
openmp,1024,1024,1024,1,3,0.338100,0.332878,0.005150,0.000048
openmp,1024,1024,1024,2,1,0.173498,0.168220,0.005202,0.000056
openmp,1024,1024,1024,2,2,0.174097,0.168767,0.005255,0.000053
openmp,1024,1024,1024,2,3,0.173883,0.168582,0.005223,0.000055
openmp,1024,1024,1024,4,1,0.090282,0.085004,0.005202,0.000057
openmp,1024,1024,1024,4,2,0.090478,0.085243,0.005150,0.000062
openmp,1024,1024,1024,4,3,0.091024,0.085704,0.005236,0.000061
openmp,1024,1024,1024,8,1,0.050383,0.045120,0.005186,0.000053
openmp,1024,1024,1024,8,2,0.051204,0.045238,0.005877,0.000065
openmp,1024,1024,1024,8,3,0.051362,0.045138,0.006134,0.000066
openmp,1024,1024,1024,16,1,0.031053,0.024813,0.006171,0.000045
openmp,1024,1024,1024,16,2,0.030651,0.024516,0.006068,0.000042
openmp,1024,1024,1024,16,3,0.031184,0.024655,0.006458,0.000050
openmp,1024,1024,1024,32,1,0.022345,0.015997,0.006286,0.000039
openmp,1024,1024,1024,32,2,0.022033,0.015684,0.006286,0.000041
openmp,1024,1024,1024,32,3,0.022523,0.016137,0.006321,0.000043
openmp,1024,1024,1024,64,1,0.020814,0.014179,0.006572,0.000041
openmp,1024,1024,1024,64,2,0.020751,0.014064,0.006623,0.000042
openmp,1024,1024,1024,64,3,0.020975,0.014319,0.006582,0.000051
openmp,1024,1024,1024,128,1,0.032632,0.025628,0.006936,0.000043
openmp,1024,1024,1024,128,2,0.033109,0.025395,0.007647,0.000044
openmp,1024,1024,1024,128,3,0.033179,0.024796,0.008319,0.000039
serial,2048,2048,2048,1,1,2.729591,2.713634,0.015878,0.000047
serial,2048,2048,2048,1,2,3.066206,3.044449,0.021649,0.000068
serial,2048,2048,2048,1,3,4.322362,4.306543,0.015745,0.000043
pthreads,2048,2048,2048,1,1,6.178379,6.158660,0.019556,0.000045
pthreads,2048,2048,2048,1,2,4.406166,4.388322,0.017672,0.000045
pthreads,2048,2048,2048,1,3,4.223412,4.207508,0.015763,0.000034
pthreads,2048,2048,2048,2,1,4.476500,4.457160,0.019132,0.000046
pthreads,2048,2048,2048,2,2,4.245998,4.229463,0.016346,0.000036
pthreads,2048,2048,2048,2,3,4.489702,4.469243,0.020249,0.000048
pthreads,2048,2048,2048,4,1,2.528658,2.513800,0.014462,0.000049
pthreads,2048,2048,2048,4,2,2.488580,2.467947,0.020279,0.000056
pthreads,2048,2048,2048,4,3,2.359835,2.344372,0.015143,0.000032
pthreads,2048,2048,2048,8,1,2.207472,2.185206,0.021578,0.000050
pthreads,2048,2048,2048,8,2,2.348629,2.331842,0.015990,0.000039
pthreads,2048,2048,2048,8,3,2.194196,2.176427,0.017076,0.000037
pthreads,2048,2048,2048,16,1,1.699808,1.680639,0.017266,0.000035
pthreads,2048,2048,2048,16,2,1.697551,1.675536,0.020451,0.000052
pthreads,2048,2048,2048,16,3,1.819924,1.793931,0.024521,0.000041
pthreads,2048,2048,2048,32,1,1.556393,1.523908,0.025892,0.000028
pthreads,2048,2048,2048,32,2,1.867654,1.834658,0.025436,0.000028
pthreads,2048,2048,2048,32,3,1.750168,1.718837,0.025063,0.000043
pthreads,2048,2048,2048,64,1,1.215998,1.140535,0.024591,0.000061
pthreads,2048,2048,2048,64,2,1.416597,1.351502,0.025332,0.000037
pthreads,2048,2048,2048,64,3,1.279754,1.243466,0.015706,0.000047
pthreads,2048,2048,2048,128,1,1.318474,1.075841,0.021225,0.000053
pthreads,2048,2048,2048,128,2,1.041795,0.897327,0.025425,0.000059
pthreads,2048,2048,2048,128,3,1.315505,1.039000,0.015710,0.000049
